month,item_name_std,gross_written_current,gross_written_yoy_reported_pct,gross_loss_ratio_current,gross_loss_ratio_diff_pp,gross_loss_ratio_ma3,retained_premium_current,retained_loss_ratio_current,gross_written_current_yoy_calc,gross_written_current_ma3,gross_loss_ratio_current_yoy_calc,gross_loss_ratio_current_ma3,retained_premium_current_yoy_calc,retained_premium_current_ma3,retained_loss_ratio_current_yoy_calc,retained_loss_ratio_current_ma3
2023-07,기타특종,1631888625,1.4,86.3,0,87.8,1137177305,74.8,,1429036074,,87.8,,958650566.6666666,,75.23333333333333
2023-07,권원,71104102,5.4,16.8,3.1,15.466666666666669,65282272,16.8,,60093382,,15.466666666666669,,55139784,,15.9
2023-07,해외원보험,545214692,13.4,55,6.3,48.46666666666667,285050139,70.5,,451287771.3333333,,48.46666666666667,,241371671,,66.26666666666667
2023-08,합계,74179115352,7,84.2,1.7,84.13333333333333,72280847579,84.3,,66555947539.333336,,84.13333333333333,,64798981444.333336,,84.5
2023-08,일반보험,9098055899,,72.9130099370804,,,,,,8140427153.333333,,69.81935228553219,,,,
2023-08,장기보험,42517565609,4,81,0,80.93333333333334,41402737645,80.7,,37109597188.666664,,80.93333333333334,,36136516814.333336,,80.63333333333333
2023-08,자동차보험,13513163369,1.7,78.5,-0.1,78.10000000000001,13361373886,78.5,,11849418510,,78.10000000000001,,11714540118.333334,,78.10000000000001
2023-08,화재,202679035,1.1,59.2,-1.6,59.73333333333333,151801300,72,,177627679.33333334,,59.73333333333333,,131950121.66666667,,73.89999999999999
2023-08,해상,631289798,9.6,38.9,-4.8,39.166666666666664,273214353,53,,552460961,,39.166666666666664,,237312178.66666666,,54.6
2023-08,보증,1291062518,8.1,65.8,28.4,65.66666666666667,1218635400,67.1,,1141955077.3333333,,65.66666666666667,,1073564539.3333334,,67.39999999999999
2023-08,기술,270499366,-8,80.1,59.4,78.49999999999999,154544093,80.7,,243648919,,78.49999999999999,,139548458.66666666,,72.06666666666666
2023-08,책임,1113885011,12.3,44.6,-8.1,45.23333333333333,869036482,59.1,,986238818.6666666,,45.23333333333333,,768159227.3333334,,57.43333333333333
2023-08,상해,1444572898,13.9,93.1,7.4,93.33333333333333,1275123823,93.5,,1297509237.6666667,,93.33333333333333,,1142628015.3333333,,93.53333333333335
2023-08,종합,1677404743,14.7,60.5,-10.9,61.199999999999996,654247400,78.2,,1514358712.6666667,,61.199999999999996,,584559282.6666666,,77.63333333333333
2023-08,기타특종,1763191530,1.3,90.1,4.2,87.46666666666665,1225052539,76.6,,1616423419.6666667,,87.46666666666665,,1116501937.6666667,,75.46666666666667
2023-08,권원,82443747,6.6,17,4,15.733333333333334,75729733,16.9,,71179599.66666667,,15.733333333333334,,65343136,,15.933333333333332
2023-08,해외원보험,621027253,7.3,119.6,72.8,75.36666666666666,309034020,88.6,,539024728.3333334,,75.36666666666666,,280185072.6666667,,76.06666666666666
2023-09,합계,82907766840,6.8,84.1,0.5,84.2,81005684326,84.1,,74866370260,,84.2,,72989461991.33333,,84.36666666666666
2023-09,일반보험,10149179863,,72.56343235659337,,,,,,9147908732.333334,,71.34462698041024,,,,
2023-09,장기보험,47890358882,4.1,80.7,0,80.86666666666667,46677075426,80.4,,42503083974,,80.86666666666667,,41402941345.333336,,80.56666666666668
2023-09,자동차보험,15051916124,1.3,79,-0.5,78.5,14884317379,79,,13477394829.666666,,78.5,,13325443176,,78.5
2023-09,화재,227635477,1.3,55.9,-15.1,58.400000000000006,170475837,67.3,,202693399,,58.400000000000006,,150759384.66666666,,71.33333333333333
2023-09,해상,719026514,9.4,39.8,-6.3,39.33333333333333,311634315,54,,634393986,,39.33333333333333,,273234284,,53.800000000000004
2023-09,보증,1433035461,6.8,66.7,26.7,66.33333333333333,1346530049,68.1,,1287247213.6666667,,66.33333333333333,,1210934390.3333333,,67.83333333333333
2023-09,기술,292524183,-8.2,75.3,40.6,77,170360944,74.2,,269168633.3333333,,77,,153526328.66666666,,75.06666666666666
2023-09,책임,1227211085,11.8,47.6,-23.6,46.1,961666940,59.5,,1109950597.3333333,,46.1,,866408315.6666666,,58.666666666666664
2023-09,상해,1574349107,14.2,92.5,6.4,92.89999999999999,1388984268,93.2,,1443906154.3333333,,92.89999999999999,,1273612398.3333333,,93.3
2023-09,종합,1982926742,12.2,59,-47,60.6,812364751,75.3,,1731435001,,60.6,,679858612,,77.30000000000001
2023-09,기타특종,1888672864,1.2,87.2,-3.9,87.86666666666666,1424075084,76.9,,1761251006.3333333,,87.86666666666666,,1262101642.6666667,,76.1
2023-09,권원,92905143,7.1,16.1,2.5,16.633333333333333,85437098,16.5,,82150997.33333333,,16.633333333333333,,75483034.33333333,,16.733333333333334
2023-09,해외원보험,710893287,7.3,127,82.5,100.53333333333335,356745419,95.7,,625711744,,100.53333333333335,,316943192.6666667,,84.93333333333334
2023-10,합계,91890066140,6.8,83.9,0.5,84.06666666666668,89684215892,84,,82992316110.66667,,84.06666666666668,,80990249265.66667,,84.13333333333333
2023-10,일반보험,11151274802,,72.41779003648664,,,,,,10132836854.666666,,72.63141077672013,,,,
2023-10,장기보험,53350665158,4.2,80.5,0.1,80.73333333333333,51996972722,80.3,,47919529883,,80.73333333333333,,46692261931,,80.46666666666668
2023-10,자동차보험,16709847264,1.3,79.3,-0.7,78.93333333333334,16517855678,79.3,,15091642252.333334,,78.93333333333334,,14921182314.333334,,78.93333333333334
2023-10,화재,255559073,2.3,55.7,-16.8,56.93333333333334,188583655,66.3,,228624528.33333334,,56.93333333333334,,170286930.66666666,,68.53333333333335
2023-10,해상,799518901,8.6,40.2,-10.1,39.63333333333333,343224433,54.5,,716611737.6666666,,39.63333333333333,,309357700.3333333,,53.833333333333336
2023-10,보증,1571070366,6.7,67.6,26.5,66.7,1476890135,68.9,,1431722781.6666667,,66.7,,1347351861.3333333,,68.03333333333333
2023-10,기술,321152948,-8,69.7,31.9,75.03333333333332,181021154,69.8,,294725499,,75.03333333333332,,168642063.66666666,,74.89999999999999
2023-10,책임,1362870654,13.4,47.4,-17.5,46.53333333333333,1049268315,58.6,,1234655583.3333333,,46.53333333333333,,959990579,,59.06666666666666
2023-10,상해,1690828168,14.6,92.5,6.3,92.7,1493187275,93.1,,1569916724.3333333,,92.7,,1385765122,,93.26666666666665
2023-10,종합,2191418741,13.5,54.4,-59.3,57.96666666666667,868169455,71.6,,1950583408.6666667,,57.96666666666667,,778260535.3333334,,75.03333333333333
2023-10,기타특종,2022550812,1.3,90.2,3.9,89.16666666666667,1542692947,77,,1891471735.3333333,,89.16666666666667,,1397273523.3333333,,76.83333333333333
2023-10,권원,102596378,7.4,17.6,4.1,16.900000000000002,94297965,17.6,,92648422.66666667,,16.900000000000002,,85154932,,17
2023-10,해외원보험,833708761,6.9,129.7,83.5,125.43333333333332,392391263,98.3,,721876433.6666666,,125.43333333333332,,352723567.3333333,,94.2
2023-11,합계,101886632616,6.2,84.9,0.9,84.3,100185121076,84.5,,92228155198.66667,,84.3,,90291673764.66667,,84.2
2023-11,일반보험,12241972873,,78.18322592607986,,,,,,11180809179.333334,,74.38814943971995,,,,
2023-11,장기보험,58781625393,4,80.6,0.2,80.6,57305203588,80.4,,53340883144.333336,,80.6,,51993083912,,80.36666666666666
2023-11,자동차보험,18386191898,1.3,80,-0.5,79.43333333333334,18181632148,80,,16715985095.333334,,79.43333333333334,,16527935068.333334,,79.43333333333334
2023-11,화재,288150357,2.8,55.2,-14.6,55.6,215213947,66.1,,257114969,,55.6,,191424479.66666666,,66.56666666666666
2023-11,해상,885077769,8.5,38,-14.3,39.333333333333336,380746244,53.1,,801207728,,39.333333333333336,,345201664,,53.86666666666667
2023-11,보증,1725479014,6.9,68.3,27.6,67.53333333333335,1626277144,69.6,,1576528280.3333333,,67.53333333333335,,1483232442.6666667,,68.86666666666666
2023-11,기술,393338832,-0.5,63.6,23.2,69.53333333333333,219282750,64.6,,335671987.6666667,,69.53333333333333,,190221616,,69.53333333333333
2023-11,책임,1469956549,12.6,46.3,-17.5,47.1,1129577941,58.8,,1353346096,,47.1,,1046837732,,58.96666666666666
2023-11,상해,1800901048,14.5,93.3,5.7,92.76666666666667,1592812595,94.1,,1688692774.3333333,,92.76666666666667,,1491661379.3333333,,93.46666666666665
2023-11,종합,2360519743,11.7,54.4,-52,55.93333333333334,952132305,70.5,,2178288408.6666665,,55.93333333333334,,877555503.6666666,,72.46666666666665
2023-11,기타특종,2293798355,2.8,121.1,20.1,99.5,2386051272,84.2,,2068340677,,99.5,,1784273101,,79.36666666666667
2023-11,권원,113542015,9.5,18.2,4.2,17.3,104537159,18,,103014512,,17.3,,94757407.33333333,,17.366666666666667
2023-11,해외원보험,911209191,7,132.1,87.2,129.6,439549364,117.1,,818603746.3333334,,129.6,,396228682,,103.7
2023-12,합계,119435079752,0.6,86,-2.5,84.93333333333334,117660016140,85.9,,104403926169.33333,,84.93333333333334,,102509784369.33333,,84.8
2023-12,일반보험,13416430738,,75.99778455137731,,,,,,12269892804.333334,,75.53293350464793,,,,
2023-12,장기보험,64263342378,4,80.8,0.2,80.63333333333333,62656451947,80.5,,58798544309.666664,,80.63333333333333,,57319542752.333336,,80.39999999999999
2023-12,자동차보험,20081604136,1.1,80.6,-0.9,79.96666666666667,19867000738,80.6,,18392547766,,79.96666666666667,,18188829521.333332,,79.96666666666667
2023-12,화재,326696152,2.9,57.5,-11.8,56.13333333333333,242471732,70,,290135194,,56.13333333333333,,215423111.33333334,,67.46666666666665
2023-12,해상,951932071,9.2,41.4,-11.4,39.86666666666667,408290974,56.7,,878842913.6666666,,39.86666666666667,,377420550.3333333,,54.76666666666667
2023-12,보증,1910595541,6,65.6,23,67.16666666666666,1793778314,67.1,,1735714973.6666667,,67.16666666666666,,1632315197.6666667,,68.53333333333333
2023-12,기술,437232382,-0.6,60.8,22.2,64.7,242119154,64.1,,383908054,,64.7,,214141019.33333334,,66.16666666666666
2023-12,책임,1633528461,11.5,44.2,-16,45.96666666666666,1243447461,59.1,,1488785221.3333333,,45.96666666666666,,1140764572.3333333,,58.833333333333336
2023-12,상해,2045454848,14,93.3,5.3,93.03333333333335,1801899205,94.2,,1845728021.3333333,,93.03333333333335,,1629299691.6666667,,93.8
2023-12,종합,2564949233,10.6,54.3,-46.4,54.36666666666667,1052713653,72.8,,2372295905.6666665,,54.36666666666667,,957671804.3333334,,71.63333333333333
2023-12,기타특종,2406512415,3,114.3,16.5,108.53333333333335,2621340996,84,,2240953860.6666665,,108.53333333333335,,2183361738.3333335,,81.73333333333333
2023-12,권원,123272766,10.5,18.2,6.5,18,113602345,18.1,,113137053,,18,,104145823,,17.900000000000002
2023-12,해외원보험,1016256869,7.6,127.8,82.4,129.86666666666665,489740876,120.3,,920391607,,129.86666666666665,,440560501,,111.89999999999999
2024-01,합계,10227325456,-7.8,89.4,4.2,86.76666666666667,9835187080,90.5,-0.07841460207737393,77183012608,0.049295774647887355,86.76666666666667,-0.08298851945767402,75893441432,0.04745370370370364,86.96666666666665
2024-01,일반보험,1328656436,,75.31012775480207,,,,,0.12466657625699835,8995686682.333334,0.38040156814588316,76.49704607741974,,,,
2024-01,장기보험,5533706140,6.7,88.3,6.6,83.23333333333333,5388625644,88.3,0.06715945773132488,42859557970.333336,0.08210784313725494,83.23333333333333,0.06814188287677449,41783427059.666664,0.09147095179233611,83.06666666666666
2024-01,자동차보험,1682176806,3.9,82.3,2.2,80.96666666666665,1658304804,82.5,0.0392635950192889,13383324280,0.028749999999999963,80.96666666666665,0.04412783429522804,13235645896.666666,0.026119402985074553,81.03333333333333
2024-01,화재,26274961,10.8,50.6,-1.3,54.43333333333334,12681331,74.8,0.10830704676796939,213707156.66666666,-0.023166023166023085,54.43333333333334,0.20357947588476347,156789003.33333334,-0.011889035667107075,70.3
2024-01,해상,85282403,16.8,96.5,82.4,58.63333333333333,28098771,97.2,0.16823237996860108,640764081,5.795774647887324,58.63333333333333,0.4098211129694916,272378663,1.0292275574112737,69
2024-01,보증,195161565,21.6,83.9,29.9,72.6,183996493,87.5,0.21608498523947872,1277078706.6666667,0.5537037037037038,72.6,0.3779799637445064,1201350650.3333333,0.5996343692870201,74.73333333333333
