month,product_group,monthly_first_premium_flow,monthly_first_premium_yoy,monthly_first_premium_ma3,monthly_renewal_premium_flow,monthly_renewal_premium_yoy,monthly_renewal_premium_ma3,lump_sum_first_premium_flow,lump_sum_first_premium_yoy,total_amount_flow,total_amount_yoy,total_amount_ma3
2025-01,단체보험,550414,-0.12580663093110978,491875,22401498,-0.007428018309247201,22370335.333333332,0,,23133985,-0.011337699764167947,22867409.333333332
2025-01,표준형,38792265,-0.22155508320034756,42709821.333333336,4538434788,0.01141547148279209,4323200253.333333,104238,-0.46995291317922483,4615777896,0.00631607965695605,4386852276
2025-01,무저해지환급형,31542221,0.14022059292935157,42730863.333333336,1085002191,0.30664530932526474,954751638.3333334,0,,1119789690,0.29972242255828385,1000526554.3333334
2025-01,표준형_질병보험,6988469,-0.4900623559055835,8731060.333333334,1249964766,-0.026214385478818696,1242658349.3333333,19814,-0.5226232351949116,1258323902,-0.031262499237305966,1253150320.3333333
2025-01,표준형_상해,11858949,-0.01192946784103619,12974764.666666666,1354393409,-0.017874979180864125,1180565545,10000,0.9751135690302193,1368263255,-0.01726365990441227,1195900108.3333333
2025-01,표준형_실손의료,3205602,-0.04366711784372965,3413241.6666666665,295628102,0.2252468468818254,284297086.6666667,0,,299285365,0.22136037175179588,288175803.6666667
2025-01,표준형_운전자,8170737,-0.026643266914776784,8841901.666666666,436284692,-0.026631100516662395,429604350.3333333,0,,445595898,-0.027738366987027134,439599418
2025-01,표준형_어린이,1943519,-0.2956940091270786,2535286.3333333335,376900137,-0.043282372049033284,375003851.3333333,8505,-0.8123593522481578,379037804,-0.04514084756670316,377733677.6666667
2025-01,표준형_치매간병,637979,-0.7161003542632406,150106,65207426,-0.016912056621105377,63780383.666666664,0,,95932799,-0.1251056012236965,75522772.66666667
2025-01,무저해지형_질병보험,20203949,0.26315876015065415,27935491.666666668,556128102,0.5868925645270647,486077149.3333333,0,,576570698,0.5724370374344642,514245910.3333333
2025-01,무저해지형_상해,6651121,0.04480007389340154,8800153.666666666,253677467,0.22168819383858274,214268100,0,,260780038,0.21585245903443145,223545084.33333334
2025-01,무저해지형_어린이,3048367,-0.1230693595092081,4033846.6666666665,225168267,-0.008090955583286522,205709376,0,,228226686,-0.009826217227073481,209748562.33333334
2025-01,무저해지형_치매간병,857026,0.4363146992377875,841810.6666666666,35793299,-0.12970103524179266,35402026.333333336,0,,39195454,-0.11997422303122136,38572450
2025-02,원리금보장형장기손해보험합계,82337342,0.03210161858000222,82193965.66666667,5807312299,0.07610965709268243,5377581004,777348,1.9724706561308698,5968683678,0.08574060509563088,5511595192.666667
2025-02,개인보험,81901540,0.03492112664873556,81696018,5784082416,0.07635793810806085,5355120614.333333,777348,1.9724706561308698,5944818349,0.08607260769119487,5488623892.333333
2025-02,보장성보험,81673496,0.04286790770326688,81531840.66666667,5758562922,0.07987664209805588,5332123627,227184,0.2522835250952195,5882740717,0.08351052418317968,5446436617
2025-02,저축성보험,228044,-0.7224766236536506,164177.33333333334,25519494,-0.379719611063167,22996987.333333332,550164,5.8684644194756554,62077632,0.39972390834887145,42187275.333333336
2025-02,단체보험,435802,-0.3173925649668018,497947.6666666667,23229883,0.01766063869969437,22460389.666666668,0,,23865329,0.008914610243087448,22971300.333333332
2025-02,표준형,37820334,-0.19211145662115772,40207668.666666664,4628114136,0.03157841878544755,4341763619.666667,227184,0.2522835250952195,4702753540,0.03502793101183816,4410850910.333333
2025-02,무저해지환급형,43853162,0.39205600308230887,41324172,1130448786,0.33595575116316434,990360007.3333334,0,,1179987177,0.33221459185452124,1035585706.6666666
2025-02,표준형_질병보험,7410967,-0.4778459355287101,7820568.333333333,1270696519,-0.00804253196711612,1242954186,71084,5.254498357274711,1279646354,-0.013223074238267116,1252397803
2025-02,표준형_상해,8112588,-0.31757917878656033,11145140.333333334,1373824699,0.00003055835208548304,1182279958,26909,0.8847797156265322,1385753876,-0.0021998301861469154,1196172637
2025-02,표준형_실손의료,3503257,0.06465611984049363,3448996.6666666665,306951572,0.2525223411938605,290801999,0,,310884769,0.2498874782267729,294731822.6666667
2025-02,표준형_운전자,8773001,0.17046281481953968,8735896.666666666,443297349,-0.008645790628666335,430348148,31,,453279269,-0.00592134046207313,440249001.3333333
2025-02,표준형_어린이,2016607,-0.27688488730532845,2427773.6666666665,385653328,-0.014694397601796541,375462893,21240,-0.5183134548432244,387829183,-0.016631853987023656,378075076
2025-02,표준형_치매간병,1656650,1.1721355646503537,500348.6666666667,65623948,-0.013847112314459589,62818173.666666664,0,,92967482,0.3819557131649476,82577991.66666667
2025-02,무저해지형_질병보험,24366562,0.34262466654184426,25460732,582502701,0.6102324141030925,510712239.3333333,0,,607530777,0.5961751727259653,536562275
2025-02,무저해지형_상해,13853547,0.8587188384432237,9949529.666666666,264081530,0.2570399987422249,221095666.33333334,0,,278408206,0.27657619501091046,231497223.33333334
2025-02,무저해지형_어린이,3683277,0.005879821420214426,3902937.6666666665,231747410,0.01815623086729288,208288599.66666666,0,,235440344,0.01795700500968299,212198987.66666666
2025-02,무저해지형_치매간병,1121061,-0.11161402168612068,1052429,36911179,-0.10981846281759869,35979214,0,,42573169,-0.13998790211625559,40084389
